,book_id,title,format,authors,size,publicationYear,genres
12457,1465.0,The Paris Wife,Hardcover,290189,314,2011,"fiction,history,historical fiction,biography,romance,non-fiction"
14375,7205.0,The Couple Next Door,Hardcover,1278320,308,2016,"mystery,thriller,crime,fiction"
16222,6959.0,Under the Dome,Hardcover,3389,1074,2009,"fiction,mystery,thriller,crime,fantasy,paranormal"
16543,32429.0,"Best Kept Secret (The Clifton Chronicles, #3)",Hardcover,4820,373,2013,"fiction,history,historical fiction,biography,mystery,thriller,crime,romance"
17470,21019.0,Autobiography of a Yogi,Paperback,14650,520,1994,"non-fiction,history,historical fiction,biography,comics,graphic"
18690,29297.0,Agnes Grey,Paperback,"8249,286311",251,1988,"fiction,romance,history,historical fiction,biography"
18746,7499.0,"Shiver (The Wolves of Mercy Falls, #1)",Hardcover,1330292,390,2009,"romance,fiction,fantasy,paranormal,young-adult"
18909,17598.0,The Grand Design,Hardcover,"1401,1399",199,2010,"non-fiction,history,historical fiction,biography,fiction"
20019,14057.0,The Art of War,Paperback,"1771,155021",273,2005,"non-fiction,history,historical fiction,biography,fiction"
20022,27687.0,The Life and Times of the Thunderbolt Kid,Hardcover,7,288,2006,"non-fiction,history,historical fiction,biography,fiction,comics,graphic"
20191,6963.0,"The Forest of Hands and Teeth (The Forest of Hands and Teeth, #1)",Paperback,1443712,310,2009,"young-adult,fantasy,paranormal,fiction,romance,mystery,thriller,crime"
22167,7902.0,The Last Juror,Paperback,721,278,2006,"fiction,mystery,thriller,crime"
22668,63231.0,The Histories,Paperback,"901,241287,3020094",716,2003,"non-fiction,history,historical fiction,biography,fiction"
22682,21041.0,The Origin of Species,Hardcover,12793,703,2004,"non-fiction,history,historical fiction,biography,fiction"
23132,20586.0,"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Hardcover,1439,305,2013,"non-fiction,history,historical fiction,biography,fiction"
24282,207280.0,انستا_حياة#,Paperback,2994581,318,2015,"romance,fiction"
24887,410.0,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Hardcover,30913,473,2010,"non-fiction,history,historical fiction,biography,fiction,comics,graphic"
27128,23464.0,"Dog Days (Diary of a Wimpy Kid, #4)",Paperback,221559,218,2009,"fiction,children,young-adult,comics,graphic,fantasy,paranormal"
29438,13316.0,"From Dead to Worse (Sookie Stackhouse, #8)",Hardcover,17061,359,2008,"fantasy,paranormal,fiction,romance,mystery,thriller,crime,young-adult"
29500,791.0,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Mass Market Paperback,"1654,1221698",412,2006,"fantasy,paranormal,fiction,young-adult"
29512,12732.0,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Hardcover,5589647,291,2016,non-fiction
29661,17714.0,A Scanner Darkly,Paperback,4764,219,2006,"fiction,fantasy,paranormal,mystery,thriller,crime,comics,graphic"
29868,8042.0,The Five People You Meet in Heaven,Paperback,2331,196,2003,"fiction,non-fiction,young-adult,romance"
30080,13337.0,All the Missing Girls,Kindle Edition,4417749,384,2016,"mystery,thriller,crime,fiction"
30114,39001.0,"Practicing the Power of Now: Essential Teachings, Meditations, and Exercises from the Power of Now",Hardcover,4493,128,2001,non-fiction
31221,42670.0,"Fifty Shades Trilogy (Fifty Shades, #1-3)",ebook,4725841,1859,2012,"romance,fiction,young-adult"
31608,6410.0,"Slammed (Slammed, #1)",ebook,5430144,317,2012,"romance,fiction,young-adult,poetry"
32203,57830.0,"Bared to You (Crossfire, #1)",Paperback,19823,334,2014,"romance,fiction"
33653,1628.0,"The Girl Who Played with Fire (Millennium, #2)",Hardcover,"706255,2565625",503,2009,"fiction,mystery,thriller,crime"
38026,7088.0,Just Kids,Hardcover,196092,304,2010,"non-fiction,history,historical fiction,biography,poetry,fiction,comics,graphic"
39966,20887.0,The Opposite of Loneliness: Essays and Stories,Hardcover,6153502,208,2014,"non-fiction,fiction,history,historical fiction,biography,young-adult"
41620,9326.0,The Girl on the Train,Kindle Edition,1063732,326,2015,"mystery,thriller,crime,fiction"
43201,317.0,"Lean In: Women, Work, and the Will to Lead",Hardcover,"5333595,3963951",217,2013,"non-fiction,history,historical fiction,biography"
43587,15268.0,Shutter Island,Mass Market Paperback,10289,369,2004,"mystery,thriller,crime,fiction,history,historical fiction,biography"
44073,21294.0,The Big Short: Inside the Doomsday Machine,Hardcover,776,264,2010,"non-fiction,history,historical fiction,biography,fiction,mystery,thriller,crime"
44313,52839.0,زغازيغ,Paperback,1479015,182,2009,"non-fiction,fiction,comics,graphic"
45748,6461.0,"The Darkest Minds (The Darkest Minds, #1)",Hardcover,2973783,488,2012,"young-adult,fantasy,paranormal,fiction,romance,mystery,thriller,crime"
45885,8427.0,"Jurassic Park (Jurassic Park, #1)",Mass Market Paperback,5194,480,2006,"fiction,mystery,thriller,crime,fantasy,paranormal,young-adult"
45890,17566.0,The Andromeda Strain,Paperback,5194,327,2003,"fiction,mystery,thriller,crime,fantasy,paranormal"
46103,20536.0,Uncle Tom's Cabin,Paperback,26242,438,1999,"fiction,history,historical fiction,biography,young-adult,children"
46610,12971.0,"The Eye of the World (Wheel of Time, #1)",Mass Market Paperback,6252,814,1990,"fantasy,paranormal,fiction,young-adult"
47414,46978.0,The Man in the Brown Suit,Paperback,123715,381,2002,"mystery,thriller,crime,fiction,romance,history,historical fiction,biography"
49439,6362.0,"A Storm of Swords: Steel and Snow (A Song of Ice and Fire, #3: Part 1 of 2)",Paperback,346732,663,2001,"fantasy,paranormal,fiction,history,historical fiction,biography,romance,mystery,thriller,crime"
49554,20615.0,The Woman in White,Paperback,"4012,4011",672,2003,"mystery,thriller,crime,fiction,history,historical fiction,biography,romance"
50722,18634.0,"Maybe Someday (Maybe, #1)",Kindle Edition,5430144,385,2014,"romance,young-adult,fiction"
52344,21000.0,The Mastery of Love: A Practical Guide to the Art of Relationship --Toltec Wisdom Book,Hardcover,4402,240,2002,"non-fiction,romance"
52645,1053.0,"Bridget Jones's Diary (Bridget Jones, #1)",Paperback,3090,288,1999,"fiction,romance"
54403,40911.0,Bird Box,Hardcover,7271073,262,2014,"fiction,mystery,thriller,crime,fantasy,paranormal"
55410,14868.0,Change of Heart,Hardcover,7128,448,2008,"fiction,mystery,thriller,crime,romance,young-adult"
57386,488.0,Drive: The Surprising Truth About What Motivates Us,Hardcover,96150,242,2009,non-fiction
58876,7374.0,Batman: The Killing Joke,Paperback,"3961,55409,61388",50,1995,"comics,graphic,fiction,fantasy,paranormal,mystery,thriller,crime"
58957,7006.0,"Angelfall (Penryn & the End of Days, #1)",Paperback,4890182,326,2013,"fantasy,paranormal,young-adult,romance,fiction"
59741,26420.0,"Forever (The Wolves of Mercy Falls, #3)",Hardcover,1330292,388,2011,"young-adult,fantasy,paranormal,romance,fiction"
61313,4841.0,"Hourglass (Evernight, #3)",Hardcover,1192311,339,2010,"young-adult,fantasy,paranormal,romance,fiction"
61937,6956.0,Dreamcatcher,Paperback,"3389,90038,4397863",688,2002,"fiction,mystery,thriller,crime,fantasy,paranormal"
64093,8227.0,Annie on My Mind,Paperback,47640,234,1992,"young-adult,romance,fiction"
64195,87291.0,The Little Prince & Letter to a Hostage,Paperback,"1020792,6432545",118,1998,"fiction,fantasy,paranormal,children,young-adult"
64657,7504.0,"Finale (Hush, Hush, #4)",Hardcover,2876763,454,2012,"young-adult,fantasy,paranormal,romance,fiction,mystery,thriller,crime"
64669,19516.0,Wedding Night,Paperback,6160,464,2014,"romance,fiction"
65464,28586.0,The Arabian Nights,Paperback,"5158478,4197526,1169504",1049,2004,"fiction,fantasy,paranormal,children,history,historical fiction,biography,romance,young-adult,poetry"
67130,6836.0,"Clockwork Princess (The Infernal Devices, #3)",Hardcover,150038,570,2013,"fantasy,paranormal,young-adult,romance,fiction,history,historical fiction,biography,mystery,thriller,crime"
67318,14582.0,My Life on the Road,Hardcover,57108,276,2015,"non-fiction,history,historical fiction,biography"
68805,27847.0,Living History,Paperback,2778471,567,2004,"non-fiction,history,historical fiction,biography,comics,graphic"
69369,17445.0,"New Spring (Wheel of Time, #0)",Paperback,6252,423,2004,"fantasy,paranormal,fiction,young-adult"
70774,17709.0,Beyond Good and Evil,Paperback,"1938,47586,12398",240,2003,"non-fiction,fiction,history,historical fiction,biography"
78194,855.0,"The Big Sleep (Philip Marlowe, #1)",Paperback,1377,231,1988,"mystery,thriller,crime,fiction,history,historical fiction,biography"
85234,12572.0,The Sea of Tranquility,Kindle Edition,6466759,426,2012,"young-adult,romance,fiction,mystery,thriller,crime"
87333,36132.0,Chronicle of a Death Foretold,Paperback,"13450,50060",120,2003,"fiction,mystery,thriller,crime,history,historical fiction,biography,romance,fantasy,paranormal"
90886,21342.0,Doctor Zhivago,Paperback,"7902,923847,923848,21660",592,1997,"fiction,history,historical fiction,biography,romance,poetry"
91283,17626.0,Watchers,Paperback,9355,624,2003,"fiction,mystery,thriller,crime,fantasy,paranormal,romance"
91492,6579.0,"Partials (Partials Sequence, #1)",Hardcover,2740668,468,2012,"young-adult,fiction,fantasy,paranormal,romance,mystery,thriller,crime"
92331,182.0,"Saga, Vol. 1 (Saga, #1)",Paperback,"24514,304633",160,2012,"comics,graphic,fantasy,paranormal,fiction,romance"
92336,6990.0,"Life As We Knew It (Last Survivors, #1)",Paperback,1318,337,2006,"young-adult,fiction,fantasy,paranormal"
95062,6969.0,"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",Hardcover,324620,422,2011,"fantasy,paranormal,young-adult,romance,fiction,mystery,thriller,crime"
95777,703.0,"The Amber Spyglass (His Dark Materials, #3)",Mass Market Paperback,3618,467,2003,"fantasy,paranormal,young-adult,fiction,children,romance"
100582,19535.0,Amy & Roger's Epic Detour,Hardcover,3351454,344,2010,"young-adult,romance,fiction"
100638,201946.0,"If I Stay Collection (If I Stay, #1-2)",Paperback,295178,525,2014,"romance,young-adult,fiction,fantasy,paranormal"
103618,48651.0,"The Last Olympian (Percy Jackson and the Olympians, #5)",Hardcover,15872,381,2009,"fantasy,paranormal,young-adult,fiction,children,romance"
105857,7502.0,"The Edge of Never (The Edge of Never, #1)",Paperback,5437976,426,2012,"romance,young-adult,fiction"
106007,34981.0,Creative Visualization: Use the Power of Your Imagination to Create What You Want in Your Life,Paperback,41093,192,2002,non-fiction
108628,14000.0,Fish!: A Remarkable Way to Boost Morale and Improve Results,Hardcover,"32803,32801,32802,4112157",112,2000,"non-fiction,fiction"
109008,18674.0,Post Office,Paperback,13275,208,2002,"fiction,poetry,history,historical fiction,biography,non-fiction,comics,graphic"
111672,13411.0,Tess of the D'Urbervilles,Paperback,"15905,261798,134559",518,2003,"fiction,romance,history,historical fiction,biography"
111674,16853.0,"The Surgeon (Rizzoli & Isles, #1)",Paperback,18149,416,2005,"mystery,thriller,crime,fiction,romance"
112531,7459.0,"Vampire Academy (Vampire Academy, #1)",Paperback,137902,332,2013,"fantasy,paranormal,young-adult,fiction,romance"
113083,10026.0,Adultery,Hardcover,566,272,2014,"fiction,romance"
114112,39207.0,"Eclipse: The Complete Illustrated Movie Companion (The Twilight Saga: The Official Illustrated Movie Companion, #3)",Paperback,61939,144,2010,"young-adult,non-fiction,fantasy,paranormal,romance,fiction"
115488,37174.0,Mr. Maybe,Paperback,12915,368,2002,"fiction,romance,young-adult"
115755,1027.0,"Tales of a Fourth Grade Nothing (Fudge, #1)",Paperback,12942,144,2004,"children,fiction,young-adult"
115903,6230.0,"Frostbite (Vampire Academy, #2)",Paperback,137902,327,2008,"young-adult,fantasy,paranormal,romance,fiction,mystery,thriller,crime"
120341,16238.0,The Phantom of the Opera,Paperback,"9057,1319502",360,1987,"fiction,romance,mystery,thriller,crime,history,historical fiction,biography,fantasy,paranormal"
121632,17221.0,The Elephant Vanishes,Paperback,"3354,7306,323598",327,1994,"fiction,fantasy,paranormal"
121634,17585.0,Sputnik Sweetheart,Paperback,"3354,403782",229,2002,"fiction,romance,mystery,thriller,crime,fantasy,paranormal"
121643,6360.0,"A Dance with Dragons (A Song of Ice and Fire, #5)",Kindle Edition,346732,1125,2011,"fantasy,paranormal,fiction,history,historical fiction,biography"
121766,13220.0,The Greatest Show on Earth: The Evidence for Evolution,Hardcover,1194,470,2009,"non-fiction,history,historical fiction,biography"
122690,8673.0,"Caraval (Caraval, #1)",Hardcover,14137787,407,2017,"fantasy,paranormal,young-adult,romance,fiction,mystery,thriller,crime"
127136,68.0,Open,Hardcover,"54066,34372",388,2009,"non-fiction,history,historical fiction,biography,comics,graphic"
127611,20836.0,Nausea,Hardcover,"1466,8924,4089",178,1969,"fiction,non-fiction"
127953,29336.0,Robinson Crusoe,Paperback,"2007,3162937,6765",320,2001,"fiction,history,historical fiction,biography,young-adult,children,fantasy,paranormal"
128383,387.0,The Power of Habit: Why We Do What We Do in Life and Business,Hardcover,5201530,286,2012,non-fiction
128497,20002.0,"The Serpent's Shadow (Kane Chronicles, #3)",Hardcover,15872,406,2012,"fantasy,paranormal,young-adult,fiction,children,romance,mystery,thriller,crime"
128926,427.0,"A Clash of Kings  (A Song of Ice and Fire, #2)",Paperback,346732,761,2002,"fantasy,paranormal,fiction,history,historical fiction,biography"
131456,1386.0,"Mockingjay (The Hunger Games, #3)",Hardcover,153394,392,2010,"young-adult,fiction,fantasy,paranormal,romance,mystery,thriller,crime"
132352,7405.0,Pygmalion,Paperback,5217,134,1994,"fiction,romance,history,historical fiction,biography"
133455,39432.0,India After Gandhi: The History of the World's Largest Democracy,Hardcover,67629,912,2007,"non-fiction,history,historical fiction,biography,fiction"
133647,13025.0,"Attack on Titan, Vol. 1 (Attack on Titan, #1)",Paperback,"5365396,3014566",193,2012,"comics,graphic,fantasy,paranormal,fiction,young-adult,mystery,thriller,crime"
134126,13417.0,Circle of Friends,Paperback,"3532,5826838,5826837",722,2006,"romance,fiction,history,historical fiction,biography"
134438,12946.0,"City of Bones (The Mortal Instruments, #1)",Kindle Edition,150038,485,2009,"young-adult,fantasy,paranormal,romance,fiction,mystery,thriller,crime"
136268,8080.0,"Easy (Contours of the Heart, #1)",Kindle Edition,4826501,310,2012,"romance,young-adult,fiction"
138949,6163.0,"Masquerade (Blue Bloods, #2)",Hardcover,21911,307,2007,"young-adult,fantasy,paranormal,romance,fiction,mystery,thriller,crime"
140420,14687.0,A Fine Balance,Paperback,3539,603,2001,"fiction,history,historical fiction,biography"
141386,7356.0,To the Lighthouse,Paperback,6765,209,1989,"fiction,history,historical fiction,biography"
142342,28626.0,The Canterville Ghost,Hardcover,"3565,279134",126,1997,"fantasy,paranormal,mystery,thriller,crime,children,fiction,history,historical fiction,biography,young-adult,romance"
144054,48419.0,The Railway Children,Paperback,7935185,188,2000,"children,fiction,young-adult,history,historical fiction,biography,fantasy,paranormal"
145458,14960.0,A Monster Calls,Hardcover,"370361,3911856,80760",216,2011,"fantasy,paranormal,fiction,young-adult,children,comics,graphic,mystery,thriller,crime"
146570,28758.0,The Autobiography of Benjamin Franklin,Paperback,"289513,63906",160,2004,"history,historical fiction,biography,non-fiction,comics,graphic,fiction"
146905,7465.0,"Perfect Chemistry (Perfect Chemistry, #1)",Hardcover,274533,368,2008,"romance,young-adult,fiction,mystery,thriller,crime"
147542,12967.0,State of Wonder,Hardcover,7136914,353,2011,"fiction,mystery,thriller,crime"
148640,929.0,Snow Crash,Audio CD,545,470,2000,"fiction,fantasy,paranormal,mystery,thriller,crime"
148897,13330.0,"Living Dead in Dallas (Sookie Stackhouse, #2)",Mass Market Paperback,17061,291,2004,"fantasy,paranormal,fiction,romance,mystery,thriller,crime,young-adult"
148928,195.0,Permission Marketing: Turning Strangers Into Friends And Friends Into Customers,Hardcover,1791,256,1999,non-fiction
149305,16218.0,The Demigod Files,Hardcover,15872,151,2009,"fantasy,paranormal,young-adult,fiction,children,romance"
149393,684.0,Neverwhere,Paperback,1221698,300,2003,"fantasy,paranormal,fiction,young-adult,mystery,thriller,crime"
149466,1313.0,"Me Before You (Me Before You, #1)",Hardcover,281810,369,2012,"romance,fiction"
150208,234147.0,You Can Win: A Step by Step Tool for Top Achievers,Paperback,132676,290,2010,non-fiction
151498,91416.0,The Power of a Praying Wife,Paperback,11785,203,2005,"non-fiction,fiction"
151678,32413.0,He's Just Not That Into You: The No-Excuses Truth to Understanding Guys,Hardcover,"6842,6841",208,2006,"non-fiction,romance,fiction"
156190,14702.0,Zeitoun,Hardcover,3371,342,2009,"non-fiction,history,historical fiction,biography,fiction"
162247,20560.0,Song of Solomon,Paperback,3534,337,2004,"fiction,history,historical fiction,biography"
162248,42643.0,The Bluest Eye,Paperback,3534,216,2005,"fiction,history,historical fiction,biography,young-adult"
163068,13546.0,"The Devil Wears Prada (The Devil Wears Prada, #1)",Paperback,3490,432,2006,"fiction,romance,young-adult"
164853,23943.0,1919,Paperback,1633682,446,2014,"history,historical fiction,biography,fiction"
169211,180678.0,"Supernova: Ksatria, Puteri, dan Bintang Jatuh",Paperback,164478,321,2001,"romance,fiction,fantasy,paranormal,young-adult"
169583,1037.0,The True Story of the 3 Little Pigs,Paperback,"27318,23573",32,1996,"children,fiction,fantasy,paranormal,young-adult"
171438,7475.0,"Unravel Me (Shatter Me, #2)",Hardcover,4637539,461,2013,"fantasy,paranormal,fiction,young-adult,romance"
173475,14871.0,"Will Grayson, Will Grayson",Hardcover,"1406384,11664",310,2010,"young-adult,fiction,romance"
174088,25012.0,The Yellow Wallpaper and Other Stories,Paperback,29527,70,1997,"fiction,history,historical fiction,biography,mystery,thriller,crime"
174559,6789.0,"Saving the World and Other Extreme Sports (Maximum Ride, #3)",Hardcover,3780,405,2007,"young-adult,fantasy,paranormal,fiction,romance,mystery,thriller,crime,children"
175629,19857.0,The Witch of Blackbird Pond,Paperback,7549,256,1978,"fiction,history,historical fiction,biography,young-adult,children,romance,fantasy,paranormal"
176169,6161.0,"The Van Alen Legacy (Blue Bloods, #4)",Hardcover,21911,369,2009,"young-adult,fantasy,paranormal,romance,fiction,mystery,thriller,crime"
176239,20514.0,Moonwalking with Einstein: The Art and Science of Remembering Everything,Hardcover,2867569,307,2011,"non-fiction,history,historical fiction,biography"
178212,6965.0,"I Am Number Four (Lorien Legacies, #1)",Hardcover,3380908,440,2010,"young-adult,fantasy,paranormal,fiction,romance,mystery,thriller,crime"
178385,83635.0,The Divine Conspiracy: Rediscovering Our Hidden Life In God,Hardcover,"4461,36065",448,1998,non-fiction
180292,20613.0,What the Dog Saw and Other Adventures,Hardcover,1439,444,2009,"non-fiction,fiction,history,historical fiction,biography"
185415,1197.0,Love in the Time of Cholera,Paperback,"13450,2599",348,2003,"fiction,history,historical fiction,biography,romance,fantasy,paranormal"
185416,13412.0,The Unbearable Lightness of Being,Paperback,"6343,66349",320,2009,"fiction,romance,history,historical fiction,biography"
186421,24504.0,A Room of One's Own,Mass Market Paperback,6765,112,2002,"non-fiction,fiction,history,historical fiction,biography"
186485,7518.0,"Fallen (Fallen, #1)",Hardcover,2905297,452,2009,"young-adult,fantasy,paranormal,romance,fiction,mystery,thriller,crime"
187277,3559.0,"Firefight (The Reckoners, #2)",Hardcover,38550,416,2015,"fantasy,paranormal,young-adult,fiction,romance,mystery,thriller,crime"
187505,19909.0,Harry Potter: Film Wizardry,Hardcover,4941,160,2010,"fantasy,paranormal,non-fiction,young-adult,fiction,children"
190610,8000.0,Fangirl,Kindle Edition,4208569,481,2013,"young-adult,romance,fiction"
190704,29462.0,Contact,Mass Market Paperback,10538,580,1997,"fiction,fantasy,paranormal,non-fiction"
195283,67619.0,"Girl Online On Tour (Girl Online, #2)",Hardcover,8316649,352,2015,"young-adult,romance,fiction"
196972,14863.0,Perfect Match,Paperback,7128,384,2003,"fiction,mystery,thriller,crime,romance,young-adult"
200235,17305.0,"The Complete Maus (Maus, #1-2)",Paperback,5117,296,2003,"non-fiction,fiction,history,historical fiction,biography,comics,graphic,young-adult"
200237,8387.0,"Maus II: A Survivor's Tale: And Here My Troubles Began (Maus, #2)",Paperback,5117,136,1992,"comics,graphic,non-fiction,history,historical fiction,biography,fiction,young-adult"
200238,8464.0,"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",Hardcover,5117,159,1991,"comics,graphic,history,historical fiction,biography,non-fiction,fiction,young-adult"
201020,23354.0,تاكسي: حواديت المشاوير,Paperback,"953641,3158133",224,2009,"non-fiction,fiction,history,historical fiction,biography,comics,graphic"
201366,111620.0,Pet Sematary,Kindle Edition,3389,580,2014,"fiction,fantasy,paranormal,mystery,thriller,crime"
201453,6206.0,"The 5th Wave (The 5th Wave, #1)",Hardcover,3377941,457,2013,"young-adult,fiction,fantasy,paranormal,romance,mystery,thriller,crime"
202375,7323.0,A Streetcar Named Desire,Paperback,7751,107,1952,"fiction,romance,history,historical fiction,biography"
202724,39470.0,The Doomsday Conspiracy,Hardcover,9068,448,1991,"fiction,mystery,thriller,crime,romance,fantasy,paranormal"
202900,29015.0,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,ebook,15815787,224,2016,non-fiction
202925,74760.0,All About Love: New Visions,Hardcover,10697,240,1999,"non-fiction,romance"
202991,1123.0,Wuthering Heights,Paperback,"4191,183563",464,2002,"romance,fiction,history,historical fiction,biography"
203335,25438.0,What I Know for Sure,Hardcover,3518,228,2014,"non-fiction,history,historical fiction,biography"
203811,12976.0,The Wind in the Willows,Paperback,"3843,3839",256,2005,"fiction,children,fantasy,paranormal,young-adult"
204611,27849.0,Shakespeare: The World as Stage,Paperback,7,199,2007,"non-fiction,history,historical fiction,biography,comics,graphic,fiction"
207972,1499.0,"King's Cage (Red Queen, #3)",ebook,7074943,528,2017,"fantasy,paranormal,young-adult,romance,fiction"
208277,105771.0,The Book of Joy: Lasting Happiness in a Changing World,Hardcover,"570218,5943,76385",354,2016,"non-fiction,history,historical fiction,biography"
212201,13099.0,The Stranger,Paperback,"957894,5744,4065222,6904185",123,1989,"fiction,mystery,thriller,crime"
212291,48634.0,Sybil: The Classic True Story of a Woman Possessed by Sixteen Personalities,Mass Market Paperback,38301,460,1989,"non-fiction,history,historical fiction,biography,fiction,comics,graphic,mystery,thriller,crime"
214269,107989.0,Down the Rabbit Hole: Curious Adventures and Cautionary Tales of a Former Playboy Bunny,Hardcover,4577318,335,2015,"non-fiction,history,historical fiction,biography,comics,graphic,fiction"
214408,6295.0,"The Awakening (Darkest Powers, #2)",Hardcover,7581,360,2009,"young-adult,fantasy,paranormal,romance,fiction,mystery,thriller,crime"
217910,1588.0,"The Passage (The Passage, #1)",Hardcover,45315,766,2010,"fiction,fantasy,paranormal,mystery,thriller,crime"
218546,17267.0,"Last Argument of Kings (The First Law, #3)",Trade Paperback,276660,536,2008,"fantasy,paranormal,fiction"
218550,17270.0,"The Blade Itself (The First Law, #1)",Paperback,276660,517,2007,"fantasy,paranormal,fiction"
219553,3652.0,NOS4A2,Hardcover,88506,704,2013,"fiction,fantasy,paranormal,mystery,thriller,crime"
219779,119595.0,Alice's Adventures in Wonderland & Other Stories,Leather Bound,"8164,180439",1165,2010,"fantasy,paranormal,fiction,children,poetry,young-adult"
220681,8010.0,Being Mortal: Medicine and What Matters in the End,Hardcover,3078,282,2014,"non-fiction,history,historical fiction,biography"
225695,13410.0,James and the Giant Peach,Hardcover,"4273,146",146,2002,"children,fantasy,paranormal,fiction,young-adult"
228918,23842.0,المرحوم,Paperback,2838886,362,2013,"fiction,mystery,thriller,crime,fantasy,paranormal"
230152,2557.0,"Rebel Belle (Rebel Belle, #1)",Hardcover,2261547,345,2014,"young-adult,fantasy,paranormal,romance,fiction,mystery,thriller,crime"
230846,1420.0,"Persepolis: The Story of a Childhood (Persepolis, #1)",Paperback,"6238,3043169",153,2004,"comics,graphic,non-fiction,history,historical fiction,biography,young-adult,fiction"
235670,17216.0,Rant,Hardcover,2546,320,2007,"fiction,fantasy,paranormal,mystery,thriller,crime"
235671,17219.0,Diary,Paperback,2546,262,2004,"fiction,mystery,thriller,crime,fantasy,paranormal"
235674,17217.0,Haunted,Paperback,2546,419,2006,"fiction,mystery,thriller,crime,fantasy,paranormal"
236937,16254.0,Are You My Mother?,Paperback,13898,64,1962,"children,fiction,fantasy,paranormal,young-adult"
237246,14054.0,The Intelligent Investor,Paperback,"755,61831,756",640,2006,non-fiction
237487,1069.0,The Lowland,Hardcover,3670,340,2013,"fiction,history,historical fiction,biography"
239272,56267.0,100 Selected Poems,Paperback,10547,128,1994,"poetry,fiction,non-fiction"
239277,57961.0,"Fullmetal Alchemist, Vol. 1 (Fullmetal Alchemist, #1)",Paperback,"4698899,1945379",192,2005,"comics,graphic,fiction,young-adult,fantasy,paranormal,mystery,thriller,crime,romance"
241904,4464.0,"Eighth Grade Bites (The Chronicles of Vladimir Tod, #1)",Hardcover,293603,182,2007,"young-adult,fantasy,paranormal,fiction,mystery,thriller,crime,romance"
242223,1614.0,"A Discovery of Witches (All Souls Trilogy, #1)",Hardcover,3849415,579,2011,"fantasy,paranormal,fiction,romance,history,historical fiction,biography,mystery,thriller,crime,young-adult"
242533,16125.0,"The Awakening / The Struggle (The Vampire Diaries, #1-2)",Paperback,50873,492,2007,"fantasy,paranormal,romance,fiction,young-adult,mystery,thriller,crime"
243270,20630.0,Radical: Taking Back Your Faith from the American Dream,Paperback,846687,230,2010,non-fiction
245195,63258.0,Twenty Love Poems and a Song of Despair,Paperback,"4026,32513,15141",70,2006,"poetry,romance,fiction,non-fiction"
246649,5505.0,"The House of the Scorpion (Matteo Alacran, #1)",Paperback,8360,380,2004,"young-adult,fiction,fantasy,paranormal,children,mystery,thriller,crime"
247290,47125.0,Bleak House,Paperback,"239579,227267,3128534",1017,2006,"fiction,history,historical fiction,biography,mystery,thriller,crime,romance"
248711,17224.0,"A Wild Sheep Chase (The Rat, #3)",Paperback,"3354,323598",353,2002,"fantasy,paranormal,fiction"
