,book_id,title,format,authors,size,publicationYear,genres
141655,57589.0,"After We Collided (After, #2)",Paperback,3927354,688,2014,"romance,young-adult,fiction"
145458,14960.0,A Monster Calls,Hardcover,"370361,3911856,80760",216,2011,"fantasy,paranormal,fiction,young-adult,children,comics,graphic,mystery,thriller,crime"
146256,13433.0,Rules,Hardcover,130166,208,2006,"fiction,young-adult,children"
146905,7465.0,"Perfect Chemistry (Perfect Chemistry, #1)",Hardcover,274533,368,2008,"romance,young-adult,fiction,mystery,thriller,crime"
146994,713.0,"The Indian in the Cupboard (The Indian in the Cupboard, #1)",Paperback,72237,192,2003,"fantasy,paranormal,children,fiction,young-adult,history,historical fiction,biography"
147542,12967.0,State of Wonder,Hardcover,7136914,353,2011,"fiction,mystery,thriller,crime"
148640,929.0,Snow Crash,Audio CD,545,470,2000,"fiction,fantasy,paranormal,mystery,thriller,crime"
148897,13330.0,"Living Dead in Dallas (Sookie Stackhouse, #2)",Mass Market Paperback,17061,291,2004,"fantasy,paranormal,fiction,romance,mystery,thriller,crime,young-adult"
149305,16218.0,The Demigod Files,Hardcover,15872,151,2009,"fantasy,paranormal,young-adult,fiction,children,romance"
149393,684.0,Neverwhere,Paperback,1221698,300,2003,"fantasy,paranormal,fiction,young-adult,mystery,thriller,crime"
149466,1313.0,"Me Before You (Me Before You, #1)",Hardcover,281810,369,2012,"romance,fiction"
149670,6447.0,"Effortless (Thoughtless, #2)",Paperback,4372391,487,2013,"romance,young-adult,fiction"
151261,6762.0,"Supernaturally (Paranormalcy, #2)",Hardcover,3027554,336,2011,"fantasy,paranormal,young-adult,romance,fiction,mystery,thriller,crime"
151678,32413.0,He's Just Not That Into You: The No-Excuses Truth to Understanding Guys,Hardcover,"6842,6841",208,2006,"non-fiction,romance,fiction"
156190,14702.0,Zeitoun,Hardcover,3371,342,2009,"non-fiction,history,historical fiction,biography,fiction"
162248,42643.0,The Bluest Eye,Paperback,3534,216,2005,"fiction,history,historical fiction,biography,young-adult"
163068,13546.0,"The Devil Wears Prada (The Devil Wears Prada, #1)",Paperback,3490,432,2006,"fiction,romance,young-adult"
165750,26172.0,We All Looked Up,Hardcover,2126339,370,2015,"young-adult,fiction,romance"
169583,1037.0,The True Story of the 3 Little Pigs,Paperback,"27318,23573",32,1996,"children,fiction,fantasy,paranormal,young-adult"
171438,7475.0,"Unravel Me (Shatter Me, #2)",Hardcover,4637539,461,2013,"fantasy,paranormal,fiction,young-adult,romance"
173475,14871.0,"Will Grayson, Will Grayson",Hardcover,"1406384,11664",310,2010,"young-adult,fiction,romance"
174088,25012.0,The Yellow Wallpaper and Other Stories,Paperback,29527,70,1997,"fiction,history,historical fiction,biography,mystery,thriller,crime"
174559,6789.0,"Saving the World and Other Extreme Sports (Maximum Ride, #3)",Hardcover,3780,405,2007,"young-adult,fantasy,paranormal,fiction,romance,mystery,thriller,crime,children"
175629,19857.0,The Witch of Blackbird Pond,Paperback,7549,256,1978,"fiction,history,historical fiction,biography,young-adult,children,romance,fantasy,paranormal"
176169,6161.0,"The Van Alen Legacy (Blue Bloods, #4)",Hardcover,21911,369,2009,"young-adult,fantasy,paranormal,romance,fiction,mystery,thriller,crime"
176239,20514.0,Moonwalking with Einstein: The Art and Science of Remembering Everything,Hardcover,2867569,307,2011,"non-fiction,history,historical fiction,biography"
178212,6965.0,"I Am Number Four (Lorien Legacies, #1)",Hardcover,3380908,440,2010,"young-adult,fantasy,paranormal,fiction,romance,mystery,thriller,crime"
179427,46553.0,"The Lost World (Professor Challenger, #1)",Paperback,2448,272,2003,"fiction,fantasy,paranormal,mystery,thriller,crime,history,historical fiction,biography"
180292,20613.0,What the Dog Saw and Other Adventures,Hardcover,1439,444,2009,"non-fiction,fiction,history,historical fiction,biography"
182931,1040.0,"Ramona Quimby, Age 8 (Ramona, #6)",Paperback,403,190,1982,"children,fiction,young-adult"
185415,1197.0,Love in the Time of Cholera,Paperback,"13450,2599",348,2003,"fiction,history,historical fiction,biography,romance,fantasy,paranormal"
185416,13412.0,The Unbearable Lightness of Being,Paperback,"6343,66349",320,2009,"fiction,romance,history,historical fiction,biography"
186418,20623.0,Dr. Faustus,Paperback,11155,56,1994,"fiction,fantasy,paranormal,poetry,history,historical fiction,biography"
186421,24504.0,A Room of One's Own,Mass Market Paperback,6765,112,2002,"non-fiction,fiction,history,historical fiction,biography"
186485,7518.0,"Fallen (Fallen, #1)",Hardcover,2905297,452,2009,"young-adult,fantasy,paranormal,romance,fiction,mystery,thriller,crime"
187277,3559.0,"Firefight (The Reckoners, #2)",Hardcover,38550,416,2015,"fantasy,paranormal,young-adult,fiction,romance,mystery,thriller,crime"
187505,19909.0,Harry Potter: Film Wizardry,Hardcover,4941,160,2010,"fantasy,paranormal,non-fiction,young-adult,fiction,children"
190610,8000.0,Fangirl,Kindle Edition,4208569,481,2013,"young-adult,romance,fiction"
190704,29462.0,Contact,Mass Market Paperback,10538,580,1997,"fiction,fantasy,paranormal,non-fiction"
195283,67619.0,"Girl Online On Tour (Girl Online, #2)",Hardcover,8316649,352,2015,"young-adult,romance,fiction"
196972,14863.0,Perfect Match,Paperback,7128,384,2003,"fiction,mystery,thriller,crime,romance,young-adult"
197319,6131.0,"Dreamless (Starcrossed, #2)",Hardcover,3406550,487,2012,"fantasy,paranormal,young-adult,romance,fiction"
198641,46596.0,The Complete Tales,Hardcover,11593,400,2006,"children,fiction,fantasy,paranormal,young-adult"
199393,21337.0,A Passage to India,Paperback,"86404,2515,39847",376,2005,"fiction,history,historical fiction,biography"
200235,17305.0,"The Complete Maus (Maus, #1-2)",Paperback,5117,296,2003,"non-fiction,fiction,history,historical fiction,biography,comics,graphic,young-adult"
200237,8387.0,"Maus II: A Survivor's Tale: And Here My Troubles Began (Maus, #2)",Paperback,5117,136,1992,"comics,graphic,non-fiction,history,historical fiction,biography,fiction,young-adult"
200238,8464.0,"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",Hardcover,5117,159,1991,"comics,graphic,history,historical fiction,biography,non-fiction,fiction,young-adult"
201366,111620.0,Pet Sematary,Kindle Edition,3389,580,2014,"fiction,fantasy,paranormal,mystery,thriller,crime"
201453,6206.0,"The 5th Wave (The 5th Wave, #1)",Hardcover,3377941,457,2013,"young-adult,fiction,fantasy,paranormal,romance,mystery,thriller,crime"
201630,405426.0,A Disaffection,Paperback,51209,337,1990,fiction
201986,75927.0,"Fire (Graceling Realm, #2)",Hardcover,1373880,334,2009,"fantasy,paranormal,young-adult,romance,fiction"
202375,7323.0,A Streetcar Named Desire,Paperback,7751,107,1952,"fiction,romance,history,historical fiction,biography"
202724,39470.0,The Doomsday Conspiracy,Hardcover,9068,448,1991,"fiction,mystery,thriller,crime,romance,fantasy,paranormal"
202900,29015.0,The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,ebook,15815787,224,2016,non-fiction
202991,1123.0,Wuthering Heights,Paperback,"4191,183563",464,2002,"romance,fiction,history,historical fiction,biography"
203811,12976.0,The Wind in the Willows,Paperback,"3843,3839",256,2005,"fiction,children,fantasy,paranormal,young-adult"
205444,16279.0,Red Riding Hood,Paperback,"4366471,4474929,32168",352,2011,"fantasy,paranormal,young-adult,romance,fiction,mystery,thriller,crime,history,historical fiction,biography"
206904,6480.0,"The Fiery Heart (Bloodlines, #4)",Hardcover,137902,420,2013,"young-adult,fantasy,paranormal,romance,fiction"
207972,1499.0,"King's Cage (Red Queen, #3)",ebook,7074943,528,2017,"fantasy,paranormal,young-adult,romance,fiction"
212201,13099.0,The Stranger,Paperback,"957894,5744,4065222,6904185",123,1989,"fiction,mystery,thriller,crime"
212291,48634.0,Sybil: The Classic True Story of a Woman Possessed by Sixteen Personalities,Mass Market Paperback,38301,460,1989,"non-fiction,history,historical fiction,biography,fiction,comics,graphic,mystery,thriller,crime"
214007,5157.0,"Angel (Angel, #1)",Paperback,3465557,512,2010,"young-adult,fantasy,paranormal,romance,fiction"
214408,6295.0,"The Awakening (Darkest Powers, #2)",Hardcover,7581,360,2009,"young-adult,fantasy,paranormal,romance,fiction,mystery,thriller,crime"
217910,1588.0,"The Passage (The Passage, #1)",Hardcover,45315,766,2010,"fiction,fantasy,paranormal,mystery,thriller,crime"
218546,17267.0,"Last Argument of Kings (The First Law, #3)",Trade Paperback,276660,536,2008,"fantasy,paranormal,fiction"
218550,17270.0,"The Blade Itself (The First Law, #1)",Paperback,276660,517,2007,"fantasy,paranormal,fiction"
219553,3652.0,NOS4A2,Hardcover,88506,704,2013,"fiction,fantasy,paranormal,mystery,thriller,crime"
219779,119595.0,Alice's Adventures in Wonderland & Other Stories,Leather Bound,"8164,180439",1165,2010,"fantasy,paranormal,fiction,children,poetry,young-adult"
220981,21115.0,Oz: The Wonderful Wizard of Oz,Hardcover,"117884,62104,3242",216,2009,"comics,graphic,fantasy,paranormal,fiction,young-adult,children"
222653,428.0,"Old Yeller (Old Yeller, #1)",Paperback,75091,132,2001,"fiction,young-adult,children,history,historical fiction,biography"
225695,13410.0,James and the Giant Peach,Hardcover,"4273,146",146,2002,"children,fantasy,paranormal,fiction,young-adult"
230152,2557.0,"Rebel Belle (Rebel Belle, #1)",Hardcover,2261547,345,2014,"young-adult,fantasy,paranormal,romance,fiction,mystery,thriller,crime"
230846,1420.0,"Persepolis: The Story of a Childhood (Persepolis, #1)",Paperback,"6238,3043169",153,2004,"comics,graphic,non-fiction,history,historical fiction,biography,young-adult,fiction"
233580,6066.0,"The Dark Divine (The Dark Divine, #1)",Hardcover,2891503,372,2009,"young-adult,fantasy,paranormal,romance,fiction,mystery,thriller,crime"
235666,17414.0,Survivor,Paperback,2546,289,2000,"fiction,mystery,thriller,crime,history,historical fiction,biography,comics,graphic"
235670,17216.0,Rant,Hardcover,2546,320,2007,"fiction,fantasy,paranormal,mystery,thriller,crime"
235671,17219.0,Diary,Paperback,2546,262,2004,"fiction,mystery,thriller,crime,fantasy,paranormal"
235674,17217.0,Haunted,Paperback,2546,419,2006,"fiction,mystery,thriller,crime,fantasy,paranormal"
236937,16254.0,Are You My Mother?,Paperback,13898,64,1962,"children,fiction,fantasy,paranormal,young-adult"
237487,1069.0,The Lowland,Hardcover,3670,340,2013,"fiction,history,historical fiction,biography"
239277,57961.0,"Fullmetal Alchemist, Vol. 1 (Fullmetal Alchemist, #1)",Paperback,"4698899,1945379",192,2005,"comics,graphic,fiction,young-adult,fantasy,paranormal,mystery,thriller,crime,romance"
242223,1614.0,"A Discovery of Witches (All Souls Trilogy, #1)",Hardcover,3849415,579,2011,"fantasy,paranormal,fiction,romance,history,historical fiction,biography,mystery,thriller,crime,young-adult"
242240,29295.0,Tales from the Shadowhunter Academy,Hardcover,"150038,836009,10317,21981",672,2016,"fantasy,paranormal,young-adult,romance,fiction"
242533,16125.0,"The Awakening / The Struggle (The Vampire Diaries, #1-2)",Paperback,50873,492,2007,"fantasy,paranormal,romance,fiction,young-adult,mystery,thriller,crime"
245195,63258.0,Twenty Love Poems and a Song of Despair,Paperback,"4026,32513,15141",70,2006,"poetry,romance,fiction,non-fiction"
246649,5505.0,"The House of the Scorpion (Matteo Alacran, #1)",Paperback,8360,380,2004,"young-adult,fiction,fantasy,paranormal,children,mystery,thriller,crime"
247290,47125.0,Bleak House,Paperback,"239579,227267,3128534",1017,2006,"fiction,history,historical fiction,biography,mystery,thriller,crime,romance"
248711,17224.0,"A Wild Sheep Chase (The Rat, #3)",Paperback,"3354,323598",353,2002,"fantasy,paranormal,fiction"
248719,17631.0,Norwegian Wood,Paperback,"3354,7306",296,2000,"romance,fiction,young-adult,fantasy,paranormal"
249173,18933.0,Remember Me?,Hardcover,6160,352,2008,"romance,fiction,young-adult"
249783,18151.0,Sapiens: A Brief History of Humankind,Paperback,395812,443,2014,"non-fiction,history,historical fiction,biography"
250254,3974.0,"Wallbanger (Cocktail, #1)",Paperback,3379564,384,2012,"romance,fiction"
